"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"DDT-driven Users API test — one pytest item per YAML record.","569","TC-API-USERS-001: GET /users — list all users, verify count & structure","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Posts API test — one pytest item per YAML record.","66","TC-API-POSTS-001: GET /posts — list all posts, verify count & structure","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Users API test — one pytest item per YAML record.","633","TC-API-USERS-004: PUT /users/1 — full update of an existing user","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Users API test — one pytest item per YAML record.","615","TC-API-USERS-003: POST /users — create a new user","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Users API test — one pytest item per YAML record.","627","TC-API-USERS-007: Validate all /users against User JSON Schema","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Users API test — one pytest item per YAML record.","616","TC-API-USERS-002: GET /users/1 — single user with JSON Schema validation","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Users API test — one pytest item per YAML record.","617","TC-API-USERS-005: DELETE /users/1 — remove a user","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Posts API test — one pytest item per YAML record.","617","TC-API-POSTS-003: POST /posts — create a new post","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Users API test — one pytest item per YAML record.","618","TC-API-USERS-006: GET /users/999 — 404 for non-existent user (negative)","tests","2026-06-17","passed","2026-06-17","","test_users","",""
"DDT-driven Posts API test — one pytest item per YAML record.","614","TC-API-POSTS-002: GET /posts/1 — single post with JSON Schema validation","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Posts API test — one pytest item per YAML record.","610","TC-API-POSTS-006: GET /posts?userId=1 — filter posts by user","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Posts API test — one pytest item per YAML record.","616","TC-API-POSTS-005: DELETE /posts/1 — remove a post","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Posts API test — one pytest item per YAML record.","657","TC-API-POSTS-007: Validate all /posts against Post JSON Schema","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
"DDT-driven Posts API test — one pytest item per YAML record.","622","TC-API-POSTS-004: PUT /posts/1 — full update of an existing post","tests","2026-06-17","passed","2026-06-17","","test_posts","",""
