"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Cart","0","0","Empty cart","0"
"1","","0","Cart","0","0","Cart display","0"
"1","","0","Cart","0","0","Cart modification","0"
"0","","0","Authentication","2","0","Input validation","0"
"5","","0","Checkout","0","0","","0"
"0","","0","Authentication","1","0","Invalid credentials","0"
"0","","2","Inventory","1","0","Cart badge lifecycle","0"
"0","","0","Authentication","1","0","Valid credentials","0"
"0","","0","Inventory","2","0","Product data integrity","0"
"0","","1","Cart","0","0","Cart state persistence","0"
"0","","0","Inventory","2","0","Product sorting","0"
"0","","0","Authentication","1","0","Access control","0"
"0","","0","Inventory","1","0","Product listing","0"
"1","","0","Cart","0","0","Cart navigation","0"
"0","","0","Authentication","1","0","Page layout","0"
